dst_port,protocol,src_port,flow_duration,prediction,confidence,top3
80,6,56976,31015263.080596924,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57012,31013963.46092224,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57014,31013606.071472168,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57026,31012381.553649902,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57052,31011272.90725708,Benign,0.84,"[('Benign', np.float64(0.84)), ('DoS', np.float64(0.15333333333333332)), ('Brute Force', np.float64(0.006666666666666667))]"
80,6,57068,31011356.35375977,Benign,0.8666666666666667,"[('Benign', np.float64(0.8666666666666667)), ('DoS', np.float64(0.12666666666666668)), ('Brute Force', np.float64(0.006666666666666667))]"
80,6,57082,31009786.128997803,Benign,0.9213311670493768,"[('Benign', np.float64(0.9213311670493768)), ('DoS', np.float64(0.07200000000000001)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,57090,31005084.7530365,Benign,0.8666666666666667,"[('Benign', np.float64(0.8666666666666667)), ('DoS', np.float64(0.12666666666666668)), ('Brute Force', np.float64(0.006666666666666667))]"
80,6,57094,31005084.27619934,Benign,0.9093311670493768,"[('Benign', np.float64(0.9093311670493768)), ('DoS', np.float64(0.08399999999999999)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57106,31004410.74371338,Benign,0.9026645003827101,"[('Benign', np.float64(0.9026645003827101)), ('DoS', np.float64(0.09066666666666666)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57108,31003780.364990234,Benign,0.9026645003827101,"[('Benign', np.float64(0.9026645003827101)), ('DoS', np.float64(0.09066666666666666)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57124,31003890.03753662,Benign,0.8959978337160434,"[('Benign', np.float64(0.8959978337160434)), ('DoS', np.float64(0.09733333333333334)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57140,31003484.72595215,Benign,0.9213311670493768,"[('Benign', np.float64(0.9213311670493768)), ('DoS', np.float64(0.07200000000000001)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,57152,31002582.31163025,Benign,0.8893311670493768,"[('Benign', np.float64(0.8893311670493768)), ('DoS', np.float64(0.10400000000000001)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57162,31001996.755599976,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57178,31000875.23460388,Benign,0.9026645003827101,"[('Benign', np.float64(0.9026645003827101)), ('DoS', np.float64(0.09066666666666666)), ('Brute Force', np.float64(0.006668832950623168))]"
80,6,57188,31000301.361083984,Benign,0.9213311670493768,"[('Benign', np.float64(0.9213311670493768)), ('DoS', np.float64(0.07200000000000001)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,57192,30999258.756637573,Benign,0.9146645003827102,"[('Benign', np.float64(0.9146645003827102)), ('DoS', np.float64(0.08533333333333334)), ('Brute Force', np.float64(2.1662839565010184e-06))]"
80,6,57200,30998054.50439453,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57224,30997487.06817627,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57234,30996814.012527466,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57246,30996245.861053467,Benign,0.9213311670493768,"[('Benign', np.float64(0.9213311670493768)), ('DoS', np.float64(0.07200000000000001)), ('DDoS', np.float64(0.006666666666666667))]"
80,6,57274,30995184.898376465,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
80,6,57286,30994628.42941284,Benign,0.88,"[('Benign', np.float64(0.88)), ('DoS', np.float64(0.10666666666666667)), ('DDoS', np.float64(0.013333333333333334))]"
